Topic Keyword	Wikipedia Articles	Government Trouble	Browser Delete	Privacy Sensitive	Avoidance
Al Qaeda	http://en.wikipedia.org/wiki/Al-Qaeda	2.20	2.11	2.21	2.84
Terrorism	http://en.wikipedia.org/wiki/terrorism	2.19	2.05	2.16	2.79
Terror	http://en.wikipedia.org/wiki/terror	1.98	1.96	2.01	2.64
Attack	http://en.wikipedia.org/wiki/attack	1.92	1.91	1.92	2.56
Iraq	http://en.wikipedia.org/wiki/iraq	1.60	1.74	1.76	2.25
Afghanistan	http://en.wikipedia.org/wiki/afghanistan	1.61	1.71	1.75	2.23
Iran	http://en.wikipedia.org/wiki/iran	1.62	1.73	1.78	2.25
Pakistan	http://en.wikipedia.org/wiki/pakistan	1.59	1.71	1.75	2.22
Agro	http://en.wikipedia.org/wiki/agro	1.51	1.80	1.76	2.29
Environmental Terrorism	http://en.wikipedia.org/wiki/Environmental_terrorism	2.20	2.20	2.24	2.92
Eco-Terrorism	http://en.wikipedia.org/wiki/Eco-terrorism	2.22	2.20	2.22	2.92
Conventional Weapon	http://en.wikipedia.org/wiki/Conventional_weapon	2.03	2.16	2.07	2.81
Weapons Grade	http://en.wikipedia.org/wiki/Weapons-grade	2.18	2.22	2.17	2.99
Dirty Bomb	http://en.wikipedia.org/wiki/Dirty_bomb	2.72	2.55	2.50	3.45
Nuclear Enrichment	http://en.wikipedia.org/wiki/Nuclear_enrichment	2.22	2.21	2.21	2.92
Nuclear	http://en.wikipedia.org/wiki/nuclear	1.84	1.97	1.91	2.55
Chemical Weapon	http://en.wikipedia.org/wiki/Chemical_weapon	2.43	2.36	2.39	3.16
Biological Weapon	http://en.wikipedia.org/wiki/Biological_weapon	2.44	2.39	2.39	3.18
Ammonium nitrate	http://en.wikipedia.org/wiki/Ammonium_nitrate	2.49	2.44	2.26	3.24
Improvised explosive device	http://en.wikipedia.org/wiki/Improvised_explosive_device	2.82	2.64	2.53	3.46
Abu Sayyaf	http://en.wikipedia.org/wiki/Abu_Sayyaf	2.02	1.96	1.99	2.57
Hamas	http://en.wikipedia.org/wiki/hamas	1.90	1.93	1.97	2.49
FARC	http://en.wikipedia.org/wiki/FARC	1.83	1.88	1.90	2.46
Irish Republican Army	http://en.wikipedia.org/wiki/Irish_Republican_Army	1.62	1.77	1.83	2.24
Euskadi ta Askatasuna	http://en.wikipedia.org/wiki/Euskadi_ta_Askatasuna	1.86	1.88	1.88	2.43
Hezbollah	http://en.wikipedia.org/wiki/hezbollah	1.86	1.90	1.96	2.46
Tamil Tigers	http://en.wikipedia.org/wiki/Tamil_Tigers	1.76	1.86	1.87	2.39
PLO	http://en.wikipedia.org/wiki/Palestine_Liberation_Organization	1.77	1.87	1.91	2.42
Palestine Liberation Front	http://en.wikipedia.org/wiki/Palestine_Liberation_Front	1.81	1.89	1.95	2.47
Car bomb	http://en.wikipedia.org/wiki/Car_bomb	2.72	2.61	2.50	3.40
Jihad	http://en.wikipedia.org/wiki/jihad	2.15	2.19	2.17	2.89
Taliban	http://en.wikipedia.org/wiki/taliban	2.06	2.03	2.10	2.70
Suicide bomber	http://en.wikipedia.org/wiki/Suicide_bomber	2.25	2.31	2.24	2.97
Suicide attack	http://en.wikipedia.org/wiki/Suicide_attack	2.30	2.36	2.29	3.04
AL Qaeda in the Arabian Peninsula	http://en.wikipedia.org/wiki/Al-Qaeda_in_the_Arabian_Peninsula	2.01	1.98	2.06	2.63
Al Qaeda in the Islamic Maghreb	http://en.wikipedia.org/wiki/Al-Qaeda_in_the_Islamic_Maghreb	2.05	1.98	2.06	2.60
Tehrik-iTaliban Pakistan	http://en.wikipedia.org/wiki/Tehrik-i-Taliban_Pakistan	1.96	1.96	1.97	2.59
Yemen	http://en.wikipedia.org/wiki/yemen	1.60	1.72	1.74	2.18
Pirates	http://en.wikipedia.org/wiki/pirates	1.44	1.67	1.67	2.10
Extremism	http://en.wikipedia.org/wiki/extremism	1.64	1.90	1.86	2.40
Somalia	http://en.wikipedia.org/wiki/somalia	1.50	1.68	1.67	2.12
Nigeria	http://en.wikipedia.org/wiki/nigeria	1.48	1.66	1.64	2.07
Political radicalism	http://en.wikipedia.org/wiki/Political_radicalism	1.75	1.91	1.97	2.48
Al-Shabaab	http://en.wikipedia.org/wiki/Al-Shabaab	1.84	1.89	1.89	2.48
Nationalism	http://en.wikipedia.org/wiki/nationalism	1.48	1.71	1.73	2.20
Recruitment	http://en.wikipedia.org/wiki/recruitment	1.74	1.90	1.87	2.54
Fundamentalism	http://en.wikipedia.org/wiki/fundamentalism	1.60	1.79	1.80	2.32
Islamist	http://en.wikipedia.org/wiki/islamist	1.79	1.89	1.93	2.45
